File Name,Section Heading,Section Text
1528221_cesta-newsletter-spring-2016.txt_11,Text Technologies,"Stanford TexT has continued to expand its activities in 2015-16, with a sequence of Text Technologies Fellows (Eric Weiskott, Zachary Hines, Stephen May, and Emma Cayley) visiting Stanford to work on their research and give seminars. In June 2016, the second Text Technologies Collegium on NetworkX will take place, co-hosted by visiting Stanford Humanities Center Fellow, Ruth Ahnert.

Text Technologies also completed its NEH-funded research, ""Global Currents,"" in collaboration with ETS in Montreal, McGill, and Groningen Universities. Funding from the Stanford Cyber Initiative, sponsored by the Hewlett Foundation, has led to the creation of a new research project, ""Cyber Text Technologies,"" in 2016-17. CyberTexT will test the extent to which all forms of human communication might be not only systematic, but also effectively skeumorphic, unconsciously emulative, and formulaically replicative. Since text technological transformation is constant and cyclical, the goal is to project into the future the ways in which trends will manifest themselves in the development of new information systems and forms of communication, from virtual reality to incorporeal technologies. Text Technologies welcomes all interested parties’ participation in any of its projects."
1528221_cesta-newsletter-spring-2016.txt_12,Amir Eshel on Using Lacuna in the Classroom,"Lacuna-- ""an open-source, online learning tool designed to create new possibilities for reading and learning collaboratively""-- was created in 2013 by the Poetic Media Lab. Since then, the project has truly taken off, and today the tool is used in classes at institutions from Stanford to Dartmouth to Foothill College. Darmouth is using the digital annotation platform to engage students in its first literature MOOC, American Renaissance X (https://sites.dartmouth.edu/edtech/2016/03/10/american-renaissance-x-and-lacuna-stories/) ; according to Dartmouth Ed Tech's article, Lacuna sees more activity than any other element of the course.

Amir Eshel, Edward Clark Crossett Professor of Humanistic Studies and Professor of Comparative Literature at Stanford, discussed how his experience using Lacuna in his courses.

How long have you been using Lacuna in the classroom now?

I think this year was the third. Different classes, different students, undergraduate and graduate students. We’ve been using it quite extensively.

What advantages have you seen from using Lacuna?

The level of engagement with reading materials is much higher. Students are much more aware of how they annotate, and how they share what they learn. And it gives me a much better sense of where individual students are: what they’re leaning, where they’re having difficulties, where I need to explain more. It also gives students who are less inclined to talk publicly a voice, which is a great thing.

What has it been like to integrate Lacuna into your courses?

It’s always a challenge, starting with the fact that not all classrooms have the right equipment to easily use it… It’s also a lot of information you get as a instructor. Going through those annotations is much more work. But I think those difficulties are not taking anything away from the viability and the beauty of the tool.

How have your students reacted to Lacuna?

I think that in particular young students, undergrads, love it and feel very comfortable with it. It’s the easiest thing in the world for them. The older students get, they have more difficulty with it. And I think that in a way our graduate students already belong to a different generation. Our graduate students kind of had to figure it out along the way. So I see a big divide.

Do you think technologies like Lacuna will be ubiquitous for even younger generations?

I think that in the future there will be much more technology in the classroom. I’m completely convinced about that. It doesn’t have to be necessarily Lacuna, but something like Lacuna, where you have access to materials wherever you are on your handheld device or laptop—it’s very convenient.

What have you learned from implementing the platform in the classroom?

Lacuna works very well with journal articles, with texts that I would say are up to around 40 pages. It works less well when you’re expected to read an entire book cover to cover. As you work with the system and get to know it, it does have limitations. So I think Lacuna is a tool one can add— and should add!— to the variety of tools we have, but it’s not the only tool we should be using. Like all forms of media, it is ultimately one more form of communication.

It’ been a wonderful experiment, and I’m very fortunate that the team came together.

What’s next for Lacuna?

Lacuna is great when it comes to analytical, critical engagement with texts. It’s less beneficial when your intention as an instructor is for students to generate creative work. So we’re working now with something called Poetic Thinking, a platform that’s supposed to foster the students’ ability to create: to create images and videos, to manipulate existing material. The platform is a way to disseminate, reflect on, and communicate with others and what they’ve created.

https://www.youtube.com/watch?v=kkqAOScBT3o&feature=youtu.be"
1528221_cesta-newsletter-spring-2016.txt_13,Poetic Media Goes to Berlin,"Brian Johnsrud and Daniel Bush recently presented in Berlin! Their talk was for ""iAnnotate"", a conference hosted by Hypothes.is and Microsoft Berlin, which focused on the future of digital and web annotation. Check out the video for their talk by clicking on the image above."
1528221_cesta-newsletter-spring-2016.txt_14,Brian Johnsrud Presents Dissertation,"Congratulations to Brian Johnsrud, co-founder and co- director of the Poetic Media Lab, for presenting and successfully defending his Ph.D. dissertation in May! Brian’s research in Stanford's Modern Thought and Literature Program delves into “cultural memories of violence between the U.S. and the Middle East,” exploring in particular how the Crusades have been represented across media in the U.S. and Middle East after 9/11. Brian discussed his argument in his public lecture in Margaret Jacks, followed by a defense and, of course, a celebration."
1528221_cesta-newsletter-spring-2016.txt_15,Lit Lab Hosts Concept Lab Conference,"On April 4th and 5th, the Literary Lab hosted a special two-day event featuring members of the Cambridge and North American Concept Labs (https://www.facebook.com/l.php?u=https%3A%2F%2Fccdkconceptlab.wordpress.com%2F&h=3AQGWs18xAQGzLC9J_1wavV6GtWMnzYGa1WMFNUOU3rjxuQ&enc=AZOmYrdaMjsesfzcgdQfQgnCLJOLu10T9fWVJ6vxjauSyr-U2pBxxqKVBZQ0qfp9EAT7f45ta_TWZzSi8B8XbzeV5j8EO7gMYVkcC2LxuManUHaZr2) , which presented the current state of their multi-year trans-Atlantic project.

The Cambridge branch of the Concept Lab, founded by Peter DeBolla, is an interdisciplinary project aimed at establishing an entirely new field of enquiry: Distributional Concept Analysis, which is intended to complement and make contributions to the history of ideas, the philosophical and historical understanding of concepts, and digital humanities. It uses methodologies adapted and developed from computational enquiries into language and cognition to understand the “architecture” of conceptual forms.

The North American Lab, led by Cliff Siskin at New York University, takes the research trajectory of the Cambridge Concept Lab as its subject. Their work has been to simulate the move from ""concepts"" to the “conceptual architectures” that render them, by starting with the Cambridge Lab's results—abstract architectures—and then instantiating them in language."
1528221_cesta-newsletter-spring-2016.txt_16,Chinese Railroad Workers in North America Conference,"For four years, the Chinese Railroad Workers in North America Project (http://web.stanford.edu/group/chineserailroad/cgi-bin/wordpress/) has sought to illuminate the lives of the 10,000-plus Chinese migrants who labored to build the Transcontinental Railroad in the 19th century. Stanford researchers worked with more than 150 scholars around the world to gather more comprehensive information on the workers’ experiences and legacy. As part of this effort, CESTA’s Spatial History Project created visualizations and maps to explore the migrants’ impact on “not just the physical but the social landscape of the West.”
In April, this massive project culminated in the 2016 Chinese Railroad Workers in North America Conference, hosted at Stanford, which brought together thirty scholars from North America and Asia to share research. Two packed days of presentations examined everything from historical cartoons to artistic depictions of the railroad workers to the separation of workers from their families; the conference finished up with two days of site visits to locations in the Sierras where Chinese laborers built."
1528221_cesta-newsletter-spring-2016.txt_17,Lit Lab Pamphlets,"The Literary Lab released their 12th pamphlet, ""Literature, Measured"" by Franco Moretti, which meditates on the work of the Literary Lab and its pamphlet series. In the Pamphlet 12's opening paragraphs, Franco reflects on the origins of the series:

""In 2010, none of the five authors of “Quantitative Formalism” had any idea they were writing a “pamphlet”. A well-known scholarly journal had been asking for an article on new critical approaches, and that’s where we sent the piece once it was finished. But it came back with so many requests for corrections, that it felt like a straightforward rejection."" But ultimately, Franco concludes, ""they did us a favor.""

Meanwhile, the New York Times (http://www.nytimes.com/2016/04/15/upshot/at-the-world-bank-a-shortage-of-concrete-language.html?_r=0) covered the Lit Lab's Pamphlet 9, ""Bankspeak: The Language of World Bank Reports, 1946 - 2012."" NYT featured Franco and Dominique Pestre's computer analysis of the bank's annual report over the years, which found ""a sharp decline in factual precision, replaced by... management discourse, a bureaucratic gobbledygook whose meaning is hard to decipher."""
1528221_cesta-newsletter-spring-2016.txt_18,Workshop on the African Colonial Employees Archive,"Between April 8 and April 14, professor of history Richard Roberts and Jason Heppler hosted the African Colonial Employees Archive workshop. The workshop invited their collaborators, Babacar Fall, professor of history and Chair of the History and Geography Department at Cheikh-Anta Diop University in Dakar, Senegal, and Oumar Tall, digital archivist at the National Archives of Senegal, to participate in a weeklong series of events regarding the digitization of colonial employee records from the Senegalese National Archives. The workshops are leading up to a large-scale digital archive project that will make available the dossier records of Africans employed by the French colonial government between 1895 and 1959."
1528221_cesta-newsletter-spring-2016.txt_19,CESTA Hosts Uppsala University Scholars,"CESTA hosted a full day of talks by education scholars from Stanford and Uppsala University in Sweden: “Research and Education Within and Across Disciplinary Boundaries in a Digital Era.” Presentations, which quickly became freeform discussions, ran the gamut-- from the Poetic Media Lab’s digital annotation platform Lacuna, to research on science education, to practice-based teacher training. Talks varied widely, but all of them tackled innovations in a changing field of education."
1528221_cesta-newsletter-spring-2016.txt_20,Encyclopedia of Cultural Nationalism in Europe,"Kim Simonsen, 2014 – 2018, University of Amsterdam postdoc and leader of the Network on Romantic Travel Writing to the Far North, shared with CESTA his work on the Encyclopedia of Cultural Nationalism in Europe (http://www.romanticnationalism.net/)  (ERNiE). ERNiE aims to chart the diffusion of cultural nationalism in the “long 19^th century,” including some of its afterlife tapering off in the 20^th century. This is traced in two dimensions: transnationally (across—and in some cases beyond—Europe) and intermedially (across different cultural fields, multimedia-style). The Study Platform of Interlocking Nationalism (SPIN) at European Studies at the University of Amsterdam has worked on the digital humanities project since 2008.

The Encyclopedia includes articles on important themes and people in the development of culturally inspired and culturally-expressed nationalism, from 1789 to 1914, and provides a portal to the SPIN collections of historical documentation-- roughly 4,000 visual, textual  and audio items. It also visualizes the connections between various themes and people.

ERNiE wishes to draw attention to culture not only as the intellectual and artistic ambitions which made nationalism, as an ideology, thinkable and attractive, but above all as the communicative medium which rendered a transnational diffusion of nationalism possible."
1528221_cesta-newsletter-spring-2016.txt_21,RA Spotlight: Kevin Garcia,"Hi, I’m Kevin Garcia and I’m currently a research assistant working on Stuart Dunn’s “The Archaeology of Place in Ancient Cyprus."" Since the project is concerned with Cyprian topography and toponymy within the corpus of ancient Greek literature, my job is to translate texts by the likes of Strabo and Pausanias from Greek into English in order to help map toponymic spaces onto the geography of Cyprus. As a Classics major, I’m am incredibly grateful that CESTA has given me the opportunity to put my language skills to use. My interests outside of classics include poetry, contemporary art, and musical theater.
[CESTA Media Assistant - Hannah Knowles
CESTA would like to give a big shout out to our first Media Assistant, Hannah Knowles. Hannah put a lot of work into this newsletter, as well as covering a lot of CESTA related events and helping to get them posted to CESTA's social media channels. Thanks, Hannah, for all your hard work and dedication!"
1528221_cesta-newsletter-spring-2016.txt_22,Comings and Goings,"CESTA was lucky to have a number of scholars join or visit the Center in recent months; as the school year wraps up, we are also preparing to say goodbye to some of our fantastic researchers and staff, all of whom are moving on to exciting new things.

RECENT ARRIVALS

New at the Lit Lab: David McClure


David joined CESTA at the beginning of March as the lead developer at the Literary Lab, where he's working with Franco Moretti and Mark Aglee-Hewitt on projects that apply computational methods to research questions in literary history and theory. He's currently building a set of software tools to manage the lab's collection of corpora and working on a project that examines the history of the word ""literature"" in a corpus of ~5 million volumes from the Hathi Trust collection.

On the side, David is also the lead developer of the Open Syllabus Project, a data mining project based out of Columbia University that's extracting structured data from a corpus of over 1 million college course syllabi. He comes to CESTA by way of the Stanford library, and before that the Scholars' Lab at the University of Virginia, where he was the primary developer of Neatline, a digital map-making framework funded by the NEH and the Library of Congress.

Visiting Researcher: Jose Cree
Jose is a second-year PhD student from Sheffield University, UK. Her PhD is on ""The invention of addiction in early modern England."" At the moment she is using CQPWeb - a corpus version of EEBO-TCP - to find the ""objects"" and the ""subjects"" of addiction by examining word collocates--  that is, to find out what people were addicted to, and who those people were.

Jose's PhD is linked to ongoing work by the Sheffield-based Intoxicants Project (@intoxproject (https://twitter.com/intoxproject?ref_src=twsrc%5Etfw) ), which is creating an online database of intoxicant-related objects and events in early modern England.

Jose is excited to be here at CESTA for four weeks, working with Ruth and Sebastian Ahnert on their Tudor Networks of Power project. While here she has been disambiguating place names and assigning GPS co-ordinates to (hopefully all of) the 7,000+ locations in the letters, to allow the data to be mapped.

Postdoc: Trine Mygind Korsby

Dr. Trine Mygind Korsby started her two-year postdoc at CESTA and the Poetic Media Lab on March 1, 2016. She defended her Ph.D. in Social Anthropology at the University of Copenhagen in 2015; her work was based on long-term ethnographic fieldwork and interviews with pimps, sex workers and convicted human traffickers in Eastern Romania.

Trine's research deals with transnational crime, pimping, sex work, and the figure of the perpetrator. She works with anthropology of the body, skill, desire, love, morality, criminal livelihoods and notions of work and labor in a post-socialist context. In her postdoc project Trine focuses on the other kinds of crime that her informants carry out besides pimping, mainly credit-card fraud, scams and theft.

Trine spent part of her Ph.D. at UC Berkeley, where she became a part of a series of experimental collaborative seminars initiated by Professor in Anthropology Paul Rabinow. This has now developed into a Stanford-Berkeley working group, which focuses on developing the digital teaching platform Lacuna into a platform for collaborative concept-work and data sharing for researchers. Together with other members of the working group Trine uses the collaborative research version of Lacuna to analyze and conceptualize her empirical data, contributing to the development of this version of the platform.

Lena Marie Heppler
Congratulations to long time CESTian Jason Heppler and his wife Margo on the arrival of their new little one in February! Here we can see little Lena already making big plans for big data...

DEPARTING

Frederico Freitas

Frederico is finishing a Ph.D. in Latin American History with Zephyr Frank as his advisor. He has been involved with DH initiatives at Stanford since he began at Stanford's graduate program in history in 2010: he first worked as a research assistant at the Spatial History Project before CESTA was even created. Prior to coming to Stanford, he worked for ten years as an art director doing mostly graphic design and motion graphics, and used that expertise in projects for CESTA and the Spatial History Project. For example, he worked in the summer of 2011 in two Terrain of History projects, where he managed the work of undergraduate RAs and both helped to conceptualize and designed these two (http://web.stanford.edu/group/spatialhistory/cgi-bin/site/viz.php?id=375&)  visualizations (http://web.stanford.edu/group/spatialhistory/cgi-bin/site/viz.php?id=377&) .

Frederico's dissertation research, on the establishment of national parks at the Brazil-Argentina border, was recently featured in Stanford News (https://news.stanford.edu/2016/01/26/parks-brazil-argentina-012616/) ; it also resulted in a visualization that is published at the Spatial History site (http://cesta.stanford.edu/projects/boundaries/) . Frederico is currently working on a new project with Zephyr Frank, Erik Steiner, and Daryle Williams from the University of Maryland: a peer-reviewed publication on the spatial history of nineteenth century Rio de Janeiro. He will continue to work on this project (remotely) after he graduates from Stanford in June.

In August Frederico will start as an Assistant Professor of History at North Carolina State University, as part of their new DH initiative called “Visual Narratives.”

Matt Bryant

Matt was hired as the central administrator for CESTA when it came into being in March of 2012. His position and responsibilities have morphed and changed a lot over the years, as CESTA has grown in leaps and bounds. Many of his various responsibilities have now been solidified into the new CESTA Center Manager position, which will be taken on by Celena Allen.  The official recognition and creation of this new position is a significant milestone in CESTA's growth and longevity.

Matt will relocate to Greensboro, North Carolina in July, with his lovely wife Julia and their fuzzy children. You'll likely find him out in the wood shop or engaged in various fixer-upper projects around their new home.

Molly Taylor-Poleskey


Molly is a graduate student of history at Stanford. In August, she will be moving to Tennessee to become the professor of digital history at Middle Tennessee State University, where she plans to recreate some of the lab-mentality of CESTA to enhance the University's DH offerings.

At CESTA, Molly has worked with Jason Heppler to create D3 visualizations of her dissertation research on 17th-century food consumption in Prussia. She is also about to finish a historical mapping project entitled ""Journey Down the Rhine,"" which charts the 1613 wedding journey of Princess Elizabeth Stuart and Elector Friedrich V of the Palatinate, right before the outbreak of the Thirty Years War.

And of course like to congratulate Molly on the very recent arrival of her son, Richard Jones Poleskey! Molly is thus celebrating both departure and arrival at the same time....

Nick Bauch


This autumn, the Spatial History Project's Geographer-in-Residence, Nicholas Bauch, heads to the University of Oklahoma for a new job.  He will assume the twin roles of Assistant Professor of GeoHumanities and Director of the Experimental Geography Studio, both in the Department of Geography and Environmental Sustainability.

Congratulations to Nick and everyone on their new adventures. From everyone here at CESTA - may you have a safe and wonderful summer, wherever you are!

============================================================
Copyright © 2014 Stanford University, All rights reserved.

Contact us: mattbryant DOT stanford AT gmail DOT com

** unsubscribe from this list (*|UNSUB|*)
** update subscription preferences (*|UPDATE_PROFILE|*)
** Facebook (https://www.facebook.com/cesta.stanford)
** Facebook (https://www.facebook.com/cesta.stanford)
** Twitter (https://www.twitter.com/cesta_stanford/)
** Twitter (https://www.twitter.com/cesta_stanford/)
** Website (http://cesta.stanford.edu)
** Website (http://cesta.stanford.edu)

This email was sent to *|EMAIL|* (mailto:*|EMAIL|*)
why did I get this? (*|ABOUT_LIST|*)     unsubscribe from this list (*|UNSUB|*)     update subscription preferences (*|UPDATE_PROFILE|*)
*|LIST_ADDRESSLINE_TEXT|*

*|REWARDS_TEXT|*"
